"cnn","lf_fadd","lf_toadd","rt_fadd","rt_toadd","street","st_type","f_st","t_st","f_node_cnn","t_node_cnn","accepted","active","classcode","date_added","date_altered","date_dropped","gds_chg_id_add","gds_chg_id_altered","gds_chg_id_dropped","jurisdiction","layer","nhood","oneway","street_gc","streetname","streetname_gc","zip_code","analysis_neighborhood","supervisor_district","line","data_as_of","data_loaded_at"
"944000","1101","1199","1100","1198","19TH","ST","PENNSYLVANIA AVE","MISSISSIPPI ST","23649000","23663000","true","true","5","07/01/1998",,,,,,"DPW","STREETS","Potrero Hill","B","19TH","19TH ST","19TH ST","94107","Potrero Hill","10","LINESTRING (-122.393488387 37.761476161, -122.394473681 37.761416605)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"952000","1901","1999","1900","1998","19TH","ST","DE HARO ST","RHODE ISLAND ST","23742000","23758000","false","true","0","07/01/1998",,,,,,,"PAPER","Potrero Hill","B","19TH","19TH ST","19TH ST","94107","Potrero Hill","10","LINESTRING (-122.401200007 37.761011749, -122.401377339 37.761007289, -122.402071294 37.760966582, -122.402203174 37.760950596)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"959000","2501","2599","2500","2598","19TH","ST","POTRERO AVE","HAMPSHIRE ST","24003000","24005000","true","true","5","07/01/1998",,,,,,"DPW","STREETS","Inner Mission","B","19TH","19TH ST","19TH ST","94110","Mission","9","LINESTRING (-122.407065797 37.760661265, -122.408064123 37.760601065)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"966000","3101","3149","3100","3148","19TH","ST","HARRISON ST","TREAT AVE","24039000","24042000","true","true","5","07/01/1998",,,,,,"DPW","STREETS","Inner Mission","B","19TH","19TH ST","19TH ST","94110","Mission","9","LINESTRING (-122.412681386 37.760629268, -122.413755479 37.760564447)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"909201","0","0","1201","1299","19TH","AVE","LINCOLN WAY","IRVING ST","27374000","27372000","false","true","2","07/01/1998",,,,,,,"STREETS","Central Sunset","F","19TH","19TH AVE","19TH AVE","94122","Sunset/Parkside","4","LINESTRING (-122.477308395 37.765447987, -122.477365328 37.765315063, -122.477251047 37.763668801, -122.477174111 37.763559499)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"913101","1600","1698","0","0","19TH","AVE","LAWTON ST","MORAGA ST","27343000","27341000","false","true","2","07/01/1998",,,,,,,"STREETS","Inner Sunset","T","19TH","19TH AVE","19TH AVE","94122","Inner Sunset","7","LINESTRING (-122.476684177 37.757968982, -122.476600697 37.757908735, -122.476480189 37.756184169, -122.476554291 37.756110215)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"916201","0","0","1901","1999","19TH","AVE","ORTEGA ST","PACHECO ST","27333000","23205000","false","true","2","07/01/1998",,,,,,,"STREETS","Parkside","F","19TH","19TH AVE","19TH AVE","94116","Inner Sunset","7","LINESTRING (-122.47629224 37.752378599, -122.476343245 37.752263006, -122.476229185 37.750622271, -122.476163214 37.750512278)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"920101","2300","2398","0","0","19TH","AVE","SANTIAGO ST","TARAVAL ST","23196000","23183000","false","true","2","07/01/1998",,,,,,,"STREETS","Inner Parkside","T","19TH","19TH AVE","19TH AVE","94116","West of Twin Peaks","7","LINESTRING (-122.475773243 37.744918718, -122.475707203 37.74481161, -122.47559311 37.743177849, -122.475644468 37.743051813)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"923201","0","0","2601","2699","19TH","AVE","VICENTE ST","WAWONA ST","23159000","23150000","false","true","2","07/01/1998",,,,,,,"STREETS","Parkside","F","19TH","19TH AVE","19TH AVE","94116","West of Twin Peaks","7","LINESTRING (-122.475409075 37.739325433, -122.475470564 37.739212696, -122.475361965 37.737545768, -122.475288555 37.737454743)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"926101","3000","3098","0","0","19TH","AVE","OCEAN AVE","EUCALYPTUS DR","23079000","23077000","false","true","2","07/01/1998",,,,,,,"STREETS","Lakeside","T","19TH","19TH AVE","19TH AVE","94132","West of Twin Peaks","7","LINESTRING (-122.474954621 37.732456138, -122.474872005 37.732284262, -122.474797184 37.731181014, -122.474856604 37.731065754)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"859000","1801","1899","1800","1898","18TH","ST","CAROLINA ST","DE HARO ST","23748000","23743000","true","true","5","07/01/1998",,,,,,"DPW","STREETS","Potrero Hill","B","18TH","18TH ST","18TH ST","94107","Potrero Hill","10","LINESTRING (-122.400389161 37.762346444, -122.401324184 37.762289969)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"866000","2501","2599","2500","2598","18TH","ST","POTRERO AVE","HAMPSHIRE ST","24004000","24010000","true","true","5","07/01/1998",,,,,,"DPW","STREETS","Inner Mission","B","18TH","18TH ST","18TH ST","94110","Mission","9","LINESTRING (-122.407187488 37.761935878, -122.408186564 37.761875732)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"873000","3151","3199","3150","3198","18TH","ST","TREAT AVE","FOLSOM ST","24043000","24126000","true","true","5","07/01/1998",,,,,,"DPW","STREETS","Inner Mission","B","18TH","18TH ST","18TH ST","94110","Mission","9","LINESTRING (-122.414031782 37.762157519, -122.414998617 37.762099161)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"880000","3465","3499","3466","3498","18TH","ST","LEXINGTON ST","VALENCIA ST","24156000","24160000","true","true","5","07/01/1998",,,,,,"DPW","STREETS","Inner Mission","B","18TH","18TH ST","18TH ST","94110","Mission","9","LINESTRING (-122.420812736 37.761747493, -122.4215784 37.761700908)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"887000","3701","3799","3700","3798","18TH","ST","DOLORES ST","CHURCH ST","25684000","25712000","true","true","5","07/01/1998",,,,,,"DPW","STREETS","Mission Dolores","B","18TH","18TH ST","18TH ST","94114","Castro/Upper Market","8","LINESTRING (-122.426076502 37.761427134, -122.428354065 37.761289573)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"894000","4301","4399","4300","4398","18TH","ST","DIAMOND ST","EUREKA ST","25818000","25819000","true","true","5","07/01/1998",,,,,,"DPW","STREETS","Eureka Valley - Dolores Height","B","18TH","18TH ST","18TH ST","94114","Castro/Upper Market","8","LINESTRING (-122.437190627 37.760758108, -122.438265382 37.760692318)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
"901000","2","98","1","99","19TH","AVE","START: 1-99 BLOCK","LAKE ST","51407000","27637000","true","true","5","07/01/1998",,,,,,"DPW","STREETS","Lake","B","19TH","19TH AVE","19TH AVE","94121","Seacliff","1","LINESTRING (-122.478764835 37.786737882, -122.478713573 37.78603127)","2026/01/17 03:57:00 AM","2026/01/17 10:14:19 AM"
